run,env,design,seed,previous_window_mean,recent_window_mean,relative_improvement
lewm-dmc:finger.spin.occ-hacssmv8_static-s1,dmc:finger.spin.occ,hacssmv8_static,1,0.7988526124159495,0.7982730739116669,0.0007254636152843298
lewm-dmc:finger.spin.occ-hacssmv8_static-s2,dmc:finger.spin.occ,hacssmv8_static,2,0.7967049770355225,0.7969031979242961,-0.00024880086667865633
lewm-dmc:finger.spin.occ-ssm-s0,dmc:finger.spin.occ,ssm,0,0.8017014778455098,0.8098351985613504,-0.01014557281059174
lewm-dmc:finger.spin.occ-ssm-s1,dmc:finger.spin.occ,ssm,1,0.7887533347606659,0.7954024072488148,-0.00842985023976665
lewm-dmc:finger.spin.occ-ssm-s2,dmc:finger.spin.occ,ssm,2,0.8102023307482401,0.8221713248093923,-0.014772845753354615
lewm-dmc:reacher.hard.occ-hacssmv6-s0,dmc:reacher.hard.occ,hacssmv6,0,0.5519697644710541,0.5518466651439666,0.00022301824304704932
lewm-dmc:reacher.hard.occ-hacssmv6-s1,dmc:reacher.hard.occ,hacssmv6,1,0.5502022943894068,0.5474654857317607,0.0049741861957943
lewm-dmc:reacher.hard.occ-hacssmv6-s2,dmc:reacher.hard.occ,hacssmv6,2,0.5644228374163309,0.5631779631773631,0.002205570286039914
lewm-dmc:reacher.hard.occ-hacssmv6_static-s0,dmc:reacher.hard.occ,hacssmv6_static,0,0.5644649902979533,0.5649068798224132,-0.0007828466460367034
lewm-dmc:reacher.hard.occ-hacssmv6_static-s1,dmc:reacher.hard.occ,hacssmv6_static,1,0.5554586298465729,0.5561738175551096,-0.0012875625116028574
lewm-dmc:reacher.hard.occ-hacssmv6_static-s2,dmc:reacher.hard.occ,hacssmv6_static,2,0.5737597788969676,0.5726185419559479,0.001989050092032834
lewm-dmc:reacher.hard.occ-hacssmv7_noaux-s0,dmc:reacher.hard.occ,hacssmv7_noaux,0,0.551056370695432,0.5516743873755137,-0.0011215126309160003
lewm-dmc:reacher.hard.occ-hacssmv7_noaux-s1,dmc:reacher.hard.occ,hacssmv7_noaux,1,0.54965269947052,0.5475011218388876,0.003914431119332338
lewm-dmc:reacher.hard.occ-hacssmv7_noaux-s2,dmc:reacher.hard.occ,hacssmv7_noaux,2,0.5629339276154836,0.562573094924291,0.0006409858661761996
lewm-dmc:reacher.hard.occ-hacssmv7_norecovery-s0,dmc:reacher.hard.occ,hacssmv7_norecovery,0,0.5518154828151067,0.5517477915287018,0.00012267014702017166
lewm-dmc:reacher.hard.occ-hacssmv7_norecovery-s1,dmc:reacher.hard.occ,hacssmv7_norecovery,1,0.549479162812233,0.5474205836852392,0.003746418911425151
lewm-dmc:reacher.hard.occ-hacssmv7_norecovery-s2,dmc:reacher.hard.occ,hacssmv7_norecovery,2,0.5627900822162628,0.5625788784027099,0.0003752799138200267
lewm-dmc:reacher.hard.occ-hacssmv7_sharedaction-s0,dmc:reacher.hard.occ,hacssmv7_sharedaction,0,0.5532143629391988,0.5545755008061727,-0.0024604167175672014
lewm-dmc:reacher.hard.occ-hacssmv7_sharedaction-s1,dmc:reacher.hard.occ,hacssmv7_sharedaction,1,0.5505503607193629,0.5487169912656148,0.003330066756023186
lewm-dmc:reacher.hard.occ-hacssmv7_sharedaction-s2,dmc:reacher.hard.occ,hacssmv7_sharedaction,2,0.5642181611061097,0.5635193532307943,0.0012385419745182182
