env,seed,rank,design,clean_mse_first_post
dmc:finger.spin.occ,1,13,hacssmv7_single,1.3584431409835815
dmc:finger.spin.occ,2,1,hacsmv4_two_noaux,1.1466971635818481
dmc:finger.spin.occ,2,2,hacssmv7_noshrink,1.1544440984725952
dmc:finger.spin.occ,2,3,hacssmv6,1.1553971767425537
dmc:finger.spin.occ,2,4,hacssmv7_actiononly,1.1641793251037598
dmc:finger.spin.occ,2,5,hacssmv7,1.1642694473266602
dmc:finger.spin.occ,2,6,hacssmv7_norecovery,1.164669394493103
dmc:finger.spin.occ,2,7,hacssmv7_sharedaction,1.1654143333435059
dmc:finger.spin.occ,2,8,hacssmv7_noaux,1.166575312614441
dmc:finger.spin.occ,2,9,hacssmv7_uniform,1.1710541248321533
dmc:finger.spin.occ,2,10,hacssmv6_static,1.1949058771133423
dmc:finger.spin.occ,2,11,ssm,1.218163013458252
dmc:finger.spin.occ,2,12,hacssmv7_noaction,1.3516089916229248
dmc:finger.spin.occ,2,13,hacssmv7_single,1.3529231548309326
dmc:finger.spin.occ,3,1,hacsmv4_two_noaux,1.1414904594421387
dmc:finger.spin.occ,3,2,hacssmv6,1.1416113376617432
dmc:finger.spin.occ,3,3,hacssmv7_noshrink,1.1447267532348633
dmc:finger.spin.occ,3,4,hacssmv7_norecovery,1.149287223815918
dmc:finger.spin.occ,3,5,hacssmv7_sharedaction,1.1524628400802612
dmc:finger.spin.occ,3,6,hacssmv7,1.1697531938552856
dmc:finger.spin.occ,3,7,hacssmv7_uniform,1.170721173286438
dmc:finger.spin.occ,3,8,hacssmv7_actiononly,1.1722782850265503
dmc:finger.spin.occ,3,9,hacssmv7_noaux,1.1760098934173584
dmc:finger.spin.occ,3,10,hacssmv6_static,1.2039586305618286
dmc:finger.spin.occ,3,11,ssm,1.208905577659607
dmc:finger.spin.occ,3,12,hacssmv7_single,1.3186392784118652
dmc:finger.spin.occ,3,13,hacssmv7_noaction,1.347771167755127
dmc:finger.spin.occ,4,1,hacssmv7_uniform,1.1083697080612183
dmc:finger.spin.occ,4,2,hacssmv6,1.1098552942276
dmc:finger.spin.occ,4,3,hacsmv4_two_noaux,1.1119939088821411
dmc:finger.spin.occ,4,4,hacssmv7_sharedaction,1.113172173500061
dmc:finger.spin.occ,4,5,hacssmv7,1.1151878833770752
dmc:finger.spin.occ,4,6,hacssmv7_noaux,1.1204047203063965
dmc:finger.spin.occ,4,7,hacssmv7_noshrink,1.1205538511276245
dmc:finger.spin.occ,4,8,hacssmv7_actiononly,1.1250457763671875
dmc:finger.spin.occ,4,9,hacssmv7_norecovery,1.1254106760025024
dmc:finger.spin.occ,4,10,hacssmv6_static,1.1763935089111328
dmc:finger.spin.occ,4,11,ssm,1.2403769493103027
dmc:finger.spin.occ,4,12,hacssmv7_single,1.319610595703125
dmc:finger.spin.occ,4,13,hacssmv7_noaction,1.3398382663726807
dmc:cheetah.run.occ,0,1,hacssmv6_static,0.5085709691047668
dmc:cheetah.run.occ,0,2,hacssmv7_norecovery,0.5549337863922119
dmc:cheetah.run.occ,0,3,hacssmv7,0.565292477607727
dmc:cheetah.run.occ,0,4,hacssmv7_noshrink,0.5656554102897644
dmc:cheetah.run.occ,0,5,hacssmv7_sharedaction,0.5659425258636475
dmc:cheetah.run.occ,0,6,hacssmv6,0.5685740113258362
dmc:cheetah.run.occ,0,7,hacssmv7_noaux,0.5726921558380127
dmc:cheetah.run.occ,0,8,hacssmv7_uniform,0.5744404196739197
dmc:cheetah.run.occ,0,9,hacsmv4_two_noaux,0.5761811137199402
dmc:cheetah.run.occ,0,10,hacssmv7_actiononly,0.5858469605445862
dmc:cheetah.run.occ,0,11,hacssmv7_single,0.6015592217445374
dmc:cheetah.run.occ,0,12,ssm,0.6559765338897705
dmc:cheetah.run.occ,0,13,hacssmv7_noaction,0.781656801700592
dmc:cheetah.run.occ,1,1,hacssmv6_static,0.5402483344078064
dmc:cheetah.run.occ,1,2,hacssmv7_sharedaction,0.5565946102142334
dmc:cheetah.run.occ,1,3,hacssmv7_noaux,0.5572887063026428
dmc:cheetah.run.occ,1,4,hacsmv4_two_noaux,0.5620920062065125
dmc:cheetah.run.occ,1,5,hacssmv7_norecovery,0.5635265111923218
dmc:cheetah.run.occ,1,6,hacssmv6,0.5636417865753174
dmc:cheetah.run.occ,1,7,hacssmv7_actiononly,0.5643667578697205
dmc:cheetah.run.occ,1,8,hacssmv7,0.5646579265594482
dmc:cheetah.run.occ,1,9,hacssmv7_noshrink,0.5660011768341064
dmc:cheetah.run.occ,1,10,hacssmv7_uniform,0.566058337688446
dmc:cheetah.run.occ,1,11,hacssmv7_single,0.5846599340438843
dmc:cheetah.run.occ,1,12,ssm,0.6611087918281555
dmc:cheetah.run.occ,1,13,hacssmv7_noaction,0.7688655257225037
dmc:cheetah.run.occ,2,1,hacssmv6_static,0.530764639377594
dmc:cheetah.run.occ,2,2,hacssmv7_sharedaction,0.539641797542572
dmc:cheetah.run.occ,2,3,hacssmv7,0.5521941184997559
dmc:cheetah.run.occ,2,4,hacssmv7_actiononly,0.5524378418922424
dmc:cheetah.run.occ,2,5,hacssmv7_noaux,0.5611653327941895
dmc:cheetah.run.occ,2,6,hacssmv7_uniform,0.5616005659103394
dmc:cheetah.run.occ,2,7,hacsmv4_two_noaux,0.5618199706077576
dmc:cheetah.run.occ,2,8,hacssmv6,0.5629773736000061
dmc:cheetah.run.occ,2,9,hacssmv7_noshrink,0.5648611187934875
dmc:cheetah.run.occ,2,10,hacssmv7_norecovery,0.5832788944244385
dmc:cheetah.run.occ,2,11,hacssmv7_single,0.5962607264518738
dmc:cheetah.run.occ,2,12,ssm,0.6521008014678955
dmc:cheetah.run.occ,2,13,hacssmv7_noaction,0.7948809862136841
dmc:cheetah.run.occ,3,1,hacssmv6_static,0.5185006856918335
dmc:cheetah.run.occ,3,2,hacssmv7_actiononly,0.5266251564025879
dmc:cheetah.run.occ,3,3,hacssmv7_noaux,0.5386541485786438
dmc:cheetah.run.occ,3,4,hacssmv7_norecovery,0.554152250289917
dmc:cheetah.run.occ,3,5,hacssmv6,0.554955244064331
dmc:cheetah.run.occ,3,6,hacssmv7,0.5550171136856079
dmc:cheetah.run.occ,3,7,hacssmv7_uniform,0.5577152371406555
dmc:cheetah.run.occ,3,8,hacsmv4_two_noaux,0.5577656030654907
dmc:cheetah.run.occ,3,9,hacssmv7_sharedaction,0.5579462051391602
dmc:cheetah.run.occ,3,10,hacssmv7_noshrink,0.5608833432197571
dmc:cheetah.run.occ,3,11,hacssmv7_single,0.5888351798057556
dmc:cheetah.run.occ,3,12,ssm,0.6470090746879578
dmc:cheetah.run.occ,3,13,hacssmv7_noaction,0.7659238576889038
dmc:cheetah.run.occ,4,1,hacssmv7,0.5333371758460999
dmc:cheetah.run.occ,4,2,hacssmv7_actiononly,0.5379955768585205
dmc:cheetah.run.occ,4,3,hacssmv7_uniform,0.5414788126945496
dmc:cheetah.run.occ,4,4,hacssmv7_norecovery,0.54453444480896
dmc:cheetah.run.occ,4,5,hacssmv7_noshrink,0.5477998852729797
dmc:cheetah.run.occ,4,6,hacssmv6_static,0.5508193373680115
