metric,candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_all,hacssmv7,hacsmv4_two_noaux,dmc:finger.spin.occ,5,0.5076598525047302,0.4971690118312836,-0.02109490126361923,-0.02245613577321945,0,0,
clean_mse_all,hacssmv7,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.25158150792121886,0.2558769822120667,0.016765568311904087,0.015508046804000915,5,0,
clean_mse_all,hacssmv7,hacsmv4_two_noaux,ogbench:cube-single.occ,5,0.8195524454116822,0.8128503084182739,-0.008252781728332428,-0.008594578817638653,0,0,
clean_mse_all,hacssmv7,hacsmv4_two_noaux,__overall__,25,,,0.0005524433460212584,-0.0012927230393084367,12,0,2
clean_mse_pre,hacssmv7,hacssmv6,dmc:reacher.hard.occ,5,0.23944154679775237,0.23836734890937805,-0.004509479109226172,-0.00505405097803917,0,0,
clean_mse_pre,hacssmv7,hacssmv6,dmc:ball_in_cup.catch.occ,5,0.6120214939117432,0.6161998391151429,0.00676364897256431,0.01165927417751993,3,0,
clean_mse_pre,hacssmv7,hacssmv6,dmc:finger.spin.occ,5,0.3596014678478241,0.34736357927322387,-0.035240389193520585,-0.03404930171274385,0,0,
clean_mse_pre,hacssmv7,hacssmv6,dmc:cheetah.run.occ,5,0.1493321031332016,0.14722376465797424,-0.014351880236070966,-0.016107243808246963,0,0,
clean_mse_pre,hacssmv7,hacssmv6,ogbench:cube-single.occ,5,0.7330040693283081,0.7214668035507202,-0.01599103582626551,-0.015105416568132402,0,0,
clean_mse_pre,hacssmv7,hacssmv6,__overall__,25,,,-0.012665827078503784,-0.014037581067049191,3,0,1
clean_mse_blackout_transition,hacssmv7,hacssmv6,dmc:reacher.hard.occ,5,0.4170936465263367,0.41190059781074523,-0.012638140285720812,-0.014550593967454666,0,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6,dmc:ball_in_cup.catch.occ,5,0.7567189931869507,0.7839241623878479,0.0347495964660005,0.035341550491922606,5,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6,dmc:finger.spin.occ,5,0.7235350489616394,0.7151798725128173,-0.011740440309220732,-0.007429253170026437,0,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6,dmc:cheetah.run.occ,5,0.4257108807563782,0.451040643453598,0.05620461078010611,0.05555413054993748,5,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6,ogbench:cube-single.occ,5,0.9699753522872925,0.9662904858589172,-0.0038294630545519888,-0.0065915671657378406,2,0,
clean_mse_blackout_transition,hacssmv7,hacssmv6,__overall__,25,,,0.012549232719322614,-0.0004852383381976295,12,0,2
clean_mse_deep_blackout,hacssmv7,hacssmv6,dmc:reacher.hard.occ,5,0.7779529213905334,0.777437686920166,-0.0008298846219142876,0.0019425293132999705,3,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6,dmc:ball_in_cup.catch.occ,5,1.0453264474868775,1.0716913223266602,0.02458586615924182,0.029614728359086847,5,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6,dmc:finger.spin.occ,5,1.1474830150604247,1.1472944736480712,-0.0001803705239613555,0.0033318422507539382,3,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6,dmc:cheetah.run.occ,5,0.6057169795036316,0.6467327117919922,0.06372908880698704,0.05192399837560925,5,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6,ogbench:cube-single.occ,5,1.37190682888031,1.3898138046264648,0.01276131962937699,0.015950348141806472,4,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6,__overall__,25,,,0.02001320388994604,0.01585583193597822,20,0,3
clean_mse_first_post,hacssmv7,hacssmv6,dmc:reacher.hard.occ,5,0.8258150696754456,0.8306938886642456,0.005820223550312889,0.009518372191285027,3,0,
clean_mse_first_post,hacssmv7,hacssmv6,dmc:ball_in_cup.catch.occ,5,0.9343978047370911,0.9632748603820801,0.029738274315335902,0.03279337848246267,5,0,
clean_mse_first_post,hacssmv7,hacssmv6,dmc:finger.spin.occ,5,1.1452091693878175,1.1288799047470093,-0.014490812905060569,-0.007678978937026925,0,0,
clean_mse_first_post,hacssmv7,hacssmv6,dmc:cheetah.run.occ,5,0.5540997624397278,0.5612707734107971,0.012825198718484726,0.005771515497968412,3,0,
clean_mse_first_post,hacssmv7,hacssmv6,ogbench:cube-single.occ,5,1.3518219232559203,1.3681094646453857,0.01178759785572867,0.010817124390899154,4,0,
clean_mse_first_post,hacssmv7,hacssmv6,__overall__,25,,,0.009136096306960323,0.006322049049228044,15,0,4
clean_mse_recovery,hacssmv7,hacssmv6,dmc:reacher.hard.occ,5,0.25924264192581176,0.26026620864868166,0.0039252267338136405,0.0028831414903919715,5,0,
clean_mse_recovery,hacssmv7,hacssmv6,dmc:ball_in_cup.catch.occ,5,0.7736517429351807,0.7802914261817933,0.008504200089533126,0.012020565720653196,4,0,
clean_mse_recovery,hacssmv7,hacssmv6,dmc:finger.spin.occ,5,0.37828861474990844,0.37085620760917665,-0.020038165954042557,-0.019849923487271093,0,0,
clean_mse_recovery,hacssmv7,hacssmv6,dmc:cheetah.run.occ,5,0.18237332999706268,0.18497876226902008,0.014087834823919012,0.01551976202955757,5,0,
clean_mse_recovery,hacssmv7,hacssmv6,ogbench:cube-single.occ,5,0.7236898899078369,0.7155681490898133,-0.011355685044769344,-0.011327983387712452,0,0,
