task,seed,design,heldout_prior_state_nmse,clean_prior_state_nmse,val_predictive_loss,deep_prior_state_nmse,encoder_mean_channel_variance,encoder_covariance_effective_rank,predictive_loss_convergence_relative_change,initial_encoder_integrator_probe_nmse
manipulator.bring_ball,18004,vicreg_none,1.0231974516808866,0.9195546160754844,0.07009784330924353,1.0257681967493184,0.2216146289741892,56.11022161284537,-0.05428484279916581,0.8259518816287355
manipulator.bring_ball,18004,vicreg_gru,0.97300993024042,0.9259136601590465,0.05269857570528984,0.9743768620551649,0.21012727964574285,53.320806212471545,-0.028836144212909833,0.8192000774104273
manipulator.bring_ball,18004,vicreg_ssm,0.9779561385079902,0.934769567183226,0.05493909070889155,0.9776345018350425,0.20238419751420295,54.2480699412925,-0.0437899952063183,0.8189475485871492
manipulator.bring_ball,18004,vicreg_hacssmv8,0.9775120894354111,0.8748306283910158,0.047967420021692915,0.9755541828320098,0.2112697862657193,52.90759137960229,-0.02478260451352661,0.8172584258262038
manipulator.bring_ball,18004,vicreg_hacssmv8_static,0.9665373205935703,0.8781739635407259,0.05125226154923439,0.9649748370955911,0.21394025540908881,53.57047268092075,-0.03494003254603171,0.8194910924299427
manipulator.bring_ball,18004,vicreg_hacssmv8_dynamic,0.9753269304433669,0.8896272657269383,0.04628653004765511,0.9759025612028229,0.21370396668283004,52.453313988904426,-0.013385147067270863,0.8222498606877756
manipulator.bring_ball,18004,vicreg_hacssmv8_noaction,1.0666761930725313,0.9180523395222961,0.04900334800283114,1.0628558981712584,0.21449346222258414,53.307867703887666,-0.025799687368600326,0.8202859642377847
manipulator.bring_ball,18004,vicreg_hacssmv8_single,0.975574975077744,0.9077018673527878,0.0518194946149985,0.972960340718477,0.21423442128082013,53.27040940864075,-0.03557925372230869,0.8241308022734726
manipulator.bring_ball,18005,vicreg_none,0.9943297917981889,0.9163495640520626,0.07476466943820317,0.9964739250973738,0.23779345625794573,58.958081202813496,-0.04097708301637321,0.8206159319949895
manipulator.bring_ball,18005,vicreg_gru,0.9844999196713643,0.9213809034776715,0.0611747016509374,0.9864983304853152,0.23433480466413306,56.974564280200056,-0.03394316559867844,0.8161728877901806
manipulator.bring_ball,18005,vicreg_ssm,0.9882073793187499,0.9253331589775882,0.06634324043989182,0.9864153409223251,0.23733113884144838,58.11049781926309,-0.028943644368304326,0.8119443124790501
manipulator.bring_ball,18005,vicreg_hacssmv8,0.9535623676454369,0.8755753525280378,0.051558920492728554,0.9527681374098349,0.2247106623331718,54.82952177168989,-0.010493029467321342,0.8180428545523245
manipulator.bring_ball,18005,vicreg_hacssmv8_static,0.9690439545473957,0.8846691496613305,0.056101374328136444,0.9672316728121885,0.23474963518553627,55.37591421838037,0.0012341805167980383,0.8165030314031578
manipulator.bring_ball,18005,vicreg_hacssmv8_dynamic,0.9606812922917558,0.8911225863199665,0.048384482661883034,0.9614417427116948,0.22274218126901424,54.80466070580159,-0.005241900183248373,0.8187202121956275
manipulator.bring_ball,18005,vicreg_hacssmv8_noaction,1.0461064595182337,0.922418650495943,0.05144974539677302,1.043530993589872,0.22562163342854258,55.17494219909763,-0.010809668182302744,0.8122888202448568
manipulator.bring_ball,18005,vicreg_hacssmv8_single,0.9493256818509459,0.9046644194731637,0.0542813204228878,0.947792169085089,0.2281752975702928,55.40439284585902,-0.0018903581761100408,0.8164867264583984
quadruped.run,18001,vicreg_none,1.1043140305260977,1.0437895011754683,0.018970032160480817,1.109013808566686,0.11418663372118688,23.034843299244525,-0.07949881171645577,0.6199433671013501
quadruped.run,18001,vicreg_gru,1.069902960390743,1.052640645592301,0.014623419505854447,1.0749428507080006,0.0845969793978052,14.937942307280728,-0.4370903195781243,0.6217529572585846
quadruped.run,18001,vicreg_ssm,1.1044090497293704,1.0556194798025504,0.015645468297104042,1.1077571515796527,0.08718047501573112,18.58917467242154,-0.13967872733554115,0.615124543521121
quadruped.run,18001,vicreg_hacssmv8,1.0332726160614472,0.8590966996061739,0.019209091365337373,1.033148181080477,0.1087576111329624,23.635997992479723,-0.17475403560419803,0.61891423950727
quadruped.run,18001,vicreg_hacssmv8_static,1.0183697430397798,0.8433953336867636,0.01647455928226312,1.0199097313097127,0.09235127366589976,19.767144592761824,-0.10119178515924931,0.6187694530693263
quadruped.run,18001,vicreg_hacssmv8_dynamic,1.056522694172517,0.8687277693982548,0.017972278346618017,1.0586053436931044,0.10228930923773104,21.156973253280913,-0.21994209048078078,0.6168466297558028
quadruped.run,18001,vicreg_hacssmv8_noaction,1.1780423379962053,1.0594816124488298,0.016235649089018502,1.1814371865133744,0.08959865345230879,20.0461583391468,-0.07228322031009551,0.6183644855386589
quadruped.run,18001,vicreg_hacssmv8_single,0.9026263680463086,0.813051679234586,0.015075916424393654,0.8994828504972333,0.08642183841774595,19.600021283509644,-0.16966527549068725,0.61654852710219
quadruped.run,18002,vicreg_none,1.0949904277213227,1.0535127651263938,0.03559258927901586,1.0996546569960037,0.19659702340839738,42.003590502188906,-0.049735701554401913,0.613102651434065
quadruped.run,18002,vicreg_gru,1.0613877054707763,1.0534720832042874,0.037043416500091554,1.0664718022977497,0.20835050116949036,47.28685430818638,-0.028229793651159525,0.6138117217038394
quadruped.run,18002,vicreg_ssm,1.0690040423338316,1.053713399529247,0.04357128491004308,1.073448758810107,0.2181154455867123,50.82840628473579,-0.01903874813857798,0.613605001500454
quadruped.run,18002,vicreg_hacssmv8,0.9734957688457371,0.8765251752140241,0.030415515849987664,0.9763548471685405,0.16456663903171334,36.835761010027255,-0.07114164472822752,0.6122707909080438
quadruped.run,18002,vicreg_hacssmv8_static,1.0030213297900408,0.8930809542160045,0.03458552335699399,1.0032409850253066,0.18446438467255738,41.35576086304445,-0.07684615826733764,0.6145876769924371
quadruped.run,18002,vicreg_hacssmv8_dynamic,0.9672365601303343,0.855914783207968,0.028216619044542313,0.9661147814732152,0.16001615950568096,36.44913808083255,-0.008789783836289694,0.6088844321304194
