env,design,seed,level,tau,causal_gate_mean,visible_mean,black_mean,visible_minus_black,visible_auroc,temporal_std,input_std,original_first_post_mse,mean_gate_first_post_mse,mean_gate_relative_change
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,2,32,0.6156532168388367,0.8500152826309204,0.2641100585460663,0.5859051942825317,1.0,0.2870495319366455,0.02355414815247059,1.0381057262420654,1.787144422531128,0.7215437293052673
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,0,2,0.5820784568786621,0.8269415497779846,0.21478380262851715,0.6121577620506287,1.0,0.2999236285686493,0.02201274409890175,1.0470308065414429,2.036849021911621,0.9453573226928711
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,1,8,0.6090443730354309,0.8467341065406799,0.25250986218452454,0.594224214553833,1.0,0.2911219596862793,0.02064167708158493,1.0470308065414429,2.036849021911621,0.9453573226928711
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,2,32,0.6215482950210571,0.8528501391410828,0.2745955288410187,0.5782545804977417,1.0,0.2833089530467987,0.022274648770689964,1.0470308065414429,2.036849021911621,0.9453573226928711
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,0,2,0.5911029577255249,0.8271558284759521,0.23702366650104523,0.5901321768760681,1.0,0.2891311049461365,0.021307237446308136,1.0638128519058228,1.8194533586502075,0.7103133797645569
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,1,8,0.6164056062698364,0.8448036313056946,0.27380865812301636,0.5709949731826782,1.0,0.27974584698677063,0.02019965648651123,1.0638128519058228,1.8194533586502075,0.7103133797645569
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,2,32,0.6288352012634277,0.8506485223770142,0.2961151599884033,0.5545333623886108,1.0,0.2716944217681885,0.022067001089453697,1.0638128519058228,1.8194533586502075,0.7103133797645569
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,0,2,0.760094940662384,0.8862671852111816,0.5708365440368652,0.3154306411743164,1.0,0.15460602939128876,0.014881789684295654,0.9848746061325073,1.1711426973342896,0.18912874162197113
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,1,8,0.7456002831459045,0.8784013390541077,0.5463985800743103,0.33200275897979736,1.0,0.1626812368631363,0.016764739528298378,0.9848746061325073,1.1711426973342896,0.18912874162197113
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,2,32,0.813293993473053,0.9176172018051147,0.6568092107772827,0.26080799102783203,1.0,0.12777887284755707,0.015165797434747219,0.9848746061325073,1.1711426973342896,0.18912874162197113
