env,design,n_seeds,val_pred_loss_mean,val_pred_loss_std,clean_mse_pre_mean,clean_mse_pre_std,clean_mse_blackout_transition_mean,clean_mse_blackout_transition_std,clean_mse_deep_blackout_mean,clean_mse_deep_blackout_std,clean_mse_first_post_mean,clean_mse_first_post_std,clean_mse_recovery_mean,clean_mse_recovery_std,clean_mse_late_post_mean,clean_mse_late_post_std,clean_mse_all_mean,clean_mse_all_std,clean_mse_first_post_ablated_mean,clean_mse_first_post_ablated_std,clean_input_mse_first_post_mean,clean_input_mse_first_post_std,last_visible_mse_first_post_mean,last_visible_mse_first_post_std,constant_mse_first_post_mean,constant_mse_first_post_std,persistence_mse_first_post_mean,persistence_mse_first_post_std,trainable_parameters_mean,trainable_parameters_std,val_hier_loss_mean,val_hier_loss_std,val_hier_loss_fast_mean,val_hier_loss_fast_std,val_hier_loss_medium_mean,val_hier_loss_medium_std,val_hier_loss_slow_mean,val_hier_loss_slow_std,val_hier_loss_h1_mean,val_hier_loss_h1_std,val_hier_loss_h2_mean,val_hier_loss_h2_std,val_hier_loss_h4_mean,val_hier_loss_h4_std,val_hier_loss_h8_mean,val_hier_loss_h8_std,val_hier_loss_h16_mean,val_hier_loss_h16_std
dmc:cheetah.run.occ,hacsmv4_noaction,3,0.49769055260552303,0.005953000604194376,0.15878871083259583,0.0009003630672111066,0.4455447793006897,0.003380444886392633,0.78616863489151,0.009484356581983502,0.7938139239947001,0.011440042454878025,0.20190582672754923,0.0033895467984741824,0.17899216214815775,0.00027915988186724743,0.28728221853574115,0.0010357598452737132,0.9109441439310709,0.03640222892834525,0.1728119750817617,0.002644111544138462,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,851078.0,0.0,0.7124317730797661,0.0022463305301927963,0.538241044415368,0.0005307038756668601,0.7393442800309923,0.0015604893521699648,0.8597099015447829,0.005700462255746519,0.5064304860432943,0.000544453993595563,0.5700515887472365,0.0005289205230374461,0.6982321985562643,0.0009161719063262888,0.7804563670688205,0.002205749074768868,0.8597099015447829,0.005700462255746519
dmc:cheetah.run.occ,hacsmv4_noaux,3,0.3864224265681373,0.00642191205783311,0.14999804894129434,0.0005868118218138043,0.46813621123631793,0.019453213859286497,0.6599712371826172,0.02584600485011588,0.5875890453656515,0.012400604490269798,0.1896263062953949,0.0004860831799010849,0.17261953155199686,7.566889014517996e-05,0.26362772782643634,0.0046207899333957385,1.2462896505991619,0.16976812318610893,0.16248028973738352,0.0007843485327936025,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,851078.0,0.0,0.8416373695267572,0.003904214155447793,0.6203140624364217,0.0021611865039055794,0.7897849914762709,0.004193961492961175,1.1148130374484593,0.007838480061774181,0.587369544506073,0.0020462804130391404,0.6532585718896654,0.0022971489656094177,0.746499310069614,0.002681835138162271,0.833070678446028,0.005767671257653713,1.1148130374484593,0.007838480061774181
dmc:cheetah.run.occ,hacsmv4_single,3,0.39960573858684967,0.005895340750785503,0.15422111749649048,0.00117873436332925,0.4093659619490306,0.004904540818934115,0.5993475317955017,0.013691092963651343,0.6094909310340881,0.011538302517882267,0.19406761725743613,0.002901865128792405,0.17587688068548837,0.0003518353292831955,0.25481770435969037,0.0010673181251585784,0.9825272162755331,0.09199243333541451,0.1671892007191976,0.00208782761287892,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,851078.0,0.0,0.6813560401068793,0.0008953136292967135,0.5438371419906617,0.0006970657361871748,0.6846340253618028,0.0005404604719614273,0.8155968872706095,0.002838183080519212,0.514895707236396,0.0008390678550046918,0.5727785907851325,0.0005571162827803037,0.6600002002716064,0.0003870274734002008,0.7092678531010945,0.0007059048364075302,0.8155968872706095,0.002838183080519212
dmc:cheetah.run.occ,hacsmv4_static,3,0.3977345305018955,0.013675711337281805,0.1562331219514211,0.0010919499381815156,0.36131025354067486,0.005170573648017623,0.5877278844515482,0.011468239288742889,0.6046813726425171,0.025720074603218342,0.1915306051572164,0.0028003047293674007,0.17744181056817374,0.0006160226076463181,0.24949076771736145,0.0024151247564813947,0.8703497052192688,0.05511924727353326,0.17074508468310037,0.0011898831257697148,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,851078.0,0.0,0.7122811513476901,0.0008021630758077612,0.5407023443116082,0.0005186197674105207,0.7005526113510132,0.00038439287521090473,0.8955884387758043,0.002317828949778275,0.5082903165287441,0.0004945181824981737,0.5731143776575724,0.000546556639412869,0.6633677093187967,8.537924844962764e-05,0.7377374990781148,0.0006858460205016314,0.8955884387758043,0.002317828949778275
dmc:cheetah.run.occ,multi,3,0.49138152652316625,0.0070681901782111934,0.1602127899726232,0.0010217241720480682,0.466617872317632,0.01574841504880751,0.7279743750890096,0.008791956684574935,0.7822946707407633,0.012868133890916133,0.18698169787724814,0.002846890166503504,0.17946336170037588,0.0004599835535388499,0.28257061044375104,0.0015561884089576091,0.7417775392532349,0.031215047710317533,0.18558840453624725,0.002128803270623066,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,914816.0,0.0,,,,,,,,,,,,,,,,,,
dmc:cheetah.run.occ,none,3,0.40788978232277767,0.0027635828492603163,0.14254105587800345,0.0005744189912266713,0.45418813824653625,0.004099202452874439,0.6328274210294088,0.0015607933753099808,0.6352881193161011,0.004984759141884454,0.18658974270025888,0.0015130035149072821,0.16500372191270193,0.00027922333376260934,0.2555982867876689,0.00020739429701966902,0.6352881193161011,0.004984759141884454,0.1552785982688268,0.0025614967501651313,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,849280.0,0.0,,,,,,,,,,,,,,,,,,
dmc:cheetah.run.occ,smtv3,3,0.518767516348097,0.009906560195166695,0.155228391289711,0.00044471221742000663,0.47202279170354206,0.014819677444985654,0.81660129626592,0.004491412524393623,0.8354556361834208,0.019042907118206866,0.19656164944171906,0.0027536207956133014,0.17943458259105682,0.0005967873613788701,0.29357584317525226,0.0012683937314993813,1.0013870398203533,0.07942595171894304,0.1687037249406179,0.0023911736789864807,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,833159.0,0.0,,,,,,,,,,,,,,,,,,
dmc:cheetah.run.occ,ssm,3,0.4203690147399902,0.002358566771947154,0.14522223671277365,0.0007145212551411449,0.4384755889574687,0.010936208875831315,0.6531782150268555,0.0063802014637070305,0.6563953757286072,0.0036894031989925216,0.18283574283123016,0.0025036582665628688,0.16932751735051474,0.0008444852372230349,0.2591324746608734,0.0007496417656169119,0.8449504375457764,0.04404914507159849,0.1747051328420639,0.0009076379507885494,1.0144654512405396,0.0,0.6891944408416748,0.0,13.852587699890137,0.0,849536.0,0.0,,,,,,,,,,,,,,,,,,
dmc:finger.spin.occ,hacsmv4,3,0.8394433495733473,0.008705899479590792,0.3534480035305023,0.0014913922938710675,0.7157671451568604,0.007155872536492792,1.2441952625910442,0.013888965405275818,1.2819419304529827,0.01791173724456,0.37810659408569336,0.005561659785187229,0.35518749554951984,0.00152168055227342,0.5175729592641195,0.0007851435256358372,3.5660009384155273,0.12624832317489013,0.3454507489999135,0.0007473857489874564,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,851078.0,0.0,1.1022312010659112,0.0020270291101830928,0.8037669679853651,0.003647792420839036,1.0296604792277018,0.00038848001698933216,1.4732659832636514,0.002783509835574037,0.7748405567804972,0.004237051111875,0.8326933677991232,0.003062268458066766,0.9767227360937331,0.00025479369152752324,1.0825981855392457,0.0006208550168935712,1.4732659832636514,0.002783509835574037
dmc:finger.spin.occ,hacsmv4_noaction,3,0.9306296242607964,0.006606686883906422,0.3586241503556569,0.001680956498304587,0.756369431813558,0.0031543802759618515,1.3830198049545288,0.015366284533274627,1.4521535634994507,0.013820581175330667,0.38153016567230225,0.0053712679091280306,0.3602958718935649,0.0012897080398969055,0.5457792480786642,0.0007431815522590671,3.9122118949890137,0.4012454038639467,0.34999439120292664,0.000959622223411067,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,851078.0,0.0,1.1159490373399523,0.0021648401492579124,0.8041978459888035,0.002512893382495089,1.0473060607910156,0.0007957304047300041,1.496343018213908,0.003516811374176737,0.7754441062609355,0.0027975379868143625,0.8329515743255616,0.0022284119584106516,0.9891753313276502,0.00043402844954735213,1.1054367420408462,0.0011814003171882184,1.496343018213908,0.003516811374176737
