env,design,seed,condition,original_first_post_mse,intervention_first_post_mse,relative_change,changed_action_fraction
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,zero_full_gap,0.9848746061325073,1.060442328453064,0.07672826945781708,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,cross_episode_early_blackout,0.9848746061325073,1.0838415622711182,0.1004868596792221,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,zero_early_blackout,0.9890490770339966,1.0302115678787231,0.04161825031042099,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,zero_full_gap,0.9890490770339966,1.0499235391616821,0.06154847517609596,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_single,1,cross_episode_early_blackout,0.9890490770339966,1.0798029899597168,0.09175875782966614,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,zero_early_blackout,0.9802651405334473,1.018045425415039,0.03854088485240936,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,zero_full_gap,0.9802651405334473,1.043182611465454,0.06418413668870926,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_single,2,cross_episode_early_blackout,0.9802651405334473,1.0544382333755493,0.07566636055707932,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4,0,zero_early_blackout,1.0096567869186401,1.0616428852081299,0.051488880068063736,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4,0,zero_full_gap,1.0096567869186401,1.1067355871200562,0.09615029394626617,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4,0,cross_episode_early_blackout,1.0096567869186401,1.1309949159622192,0.12017759680747986,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4,1,zero_early_blackout,1.0399348735809326,1.070801854133606,0.029681647196412086,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4,1,zero_full_gap,1.0399348735809326,1.1126495599746704,0.06992234289646149,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4,1,cross_episode_early_blackout,1.0399348735809326,1.1445724964141846,0.10061939805746078,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4,2,zero_early_blackout,1.0374609231948853,1.0489604473114014,0.011084295809268951,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4,2,zero_full_gap,1.0374609231948853,1.0935804843902588,0.05409318208694458,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4,2,cross_episode_early_blackout,1.0374609231948853,1.1166696548461914,0.07634864002466202,0.08473118394613266
dmc:finger.spin.occ,ssm,0,zero_early_blackout,1.182318925857544,1.182318925857544,0.0,0.09677419066429138
dmc:finger.spin.occ,ssm,0,zero_full_gap,1.182318925857544,1.182318925857544,0.0,0.19354838132858276
dmc:finger.spin.occ,ssm,0,cross_episode_early_blackout,1.182318925857544,1.182318925857544,0.0,0.08473118394613266
dmc:finger.spin.occ,ssm,1,zero_early_blackout,1.2060950994491577,1.2060950994491577,0.0,0.09677419066429138
dmc:finger.spin.occ,ssm,1,zero_full_gap,1.2060950994491577,1.2060950994491577,0.0,0.19354838132858276
dmc:finger.spin.occ,ssm,1,cross_episode_early_blackout,1.2060950994491577,1.2060950994491577,0.0,0.08473118394613266
