run,env,design,seed,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,trainable_parameters,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16
lewm-dmc:cheetah.run.occ-hacsmv4_noaction-s0,dmc:cheetah.run.occ,hacsmv4_noaction,0,0.4898405694961548,0.15833142399787903,0.45026764273643494,0.7742721438407898,0.7790030837059021,0.20317667722702026,0.17860913276672363,0.2858349680900574,0.9109641313552856,0.17360760271549225,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.7118515141805013,0.5385773936907451,0.7391217263539632,0.857855277856191,0.5066708119710287,0.5704839245478313,0.6981510424613953,0.7800924189885458,0.857855277856191
lewm-dmc:cheetah.run.occ-hacsmv4_noaction-s1,dmc:cheetah.run.occ,hacsmv4_noaction,1,0.4989810331662496,0.1600465029478073,0.44382524490356445,0.7867517471313477,0.7955809831619263,0.20527318120002747,0.17910084128379822,0.28781014680862427,0.955517590045929,0.17557837069034576,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.7154268010457356,0.5374918174743653,0.7413570149739583,0.8674315627415975,0.5056768186887105,0.5693067908287048,0.6993926501274109,0.7833213710784912,0.8674315627415975
lewm-dmc:cheetah.run.occ-hacsmv4_noaction-s2,dmc:cheetah.run.occ,hacsmv4_noaction,2,0.5042500551541647,0.15798820555210114,0.4425414502620697,0.7974820137023926,0.806857705116272,0.19726762175559998,0.17926651239395142,0.28820154070854187,0.8663507103919983,0.16924995183944702,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.7100170040130616,0.5386539220809936,0.7375540987650553,0.8538428640365601,0.5069438274701437,0.5703640508651734,0.6971529030799866,0.7779553111394246,0.8538428640365601
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s0,dmc:cheetah.run.occ,hacsmv4_noaux,0,0.3852358595530192,0.1504431962966919,0.45037898421287537,0.6655780673027039,0.5852358937263489,0.18963441252708435,0.17252421379089355,0.26235494017601013,1.3185292482376099,0.16141168773174286,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.8361236445109049,0.6202888186772665,0.78392058690389,1.104161647160848,0.5876474046707153,0.652930223941803,0.742708036104838,0.8251331543922424,1.104161647160848
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s1,dmc:cheetah.run.occ,hacsmv4_noaux,1,0.37921792348225913,0.15038202702999115,0.4588172435760498,0.6258876919746399,0.5737153887748718,0.18902696669101715,0.17262506484985352,0.2587132155895233,1.0118824243545532,0.1632722169160843,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.8441423201560974,0.6176798725128174,0.7919487285614014,1.122798350652059,0.5847360221544902,0.6506237316131592,0.7484846178690593,0.8354128392537435,1.122798350652059
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s2,dmc:cheetah.run.occ,hacsmv4_noaux,2,0.3948134966691335,0.1491689234972,0.4952124059200287,0.6884479522705078,0.6038158535957336,0.1902175396680832,0.17270931601524353,0.26981502771377563,1.4084572792053223,0.16275696456432343,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.8446461439132691,0.6229734961191813,0.7934856589635213,1.1174791145324707,0.5897252066930135,0.656221760114034,0.7483052762349447,0.838666041692098,1.1174791145324707
lewm-dmc:cheetah.run.occ-hacsmv4_single-s0,dmc:cheetah.run.occ,hacsmv4_single,0,0.40505839109420777,0.15411190688610077,0.40484216809272766,0.6064152121543884,0.6199016571044922,0.19816067814826965,0.17538021504878998,0.2554731070995331,0.8796883225440979,0.1672431379556656,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.680107565720876,0.5448221397399903,0.6838792339960734,0.8116212638219198,0.5160781073570252,0.573566206296285,0.6594533626238505,0.7083051220575969,0.8116212638219198
lewm-dmc:cheetah.run.occ-hacsmv4_single-s1,dmc:cheetah.run.occ,hacsmv4_single,1,0.39141736149787903,0.15571627020835876,0.4161812365055084,0.5802026391029358,0.5934038758277893,0.19176346063613892,0.17615118622779846,0.25331246852874756,0.9649391770362854,0.16971886157989502,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.681797620455424,0.5433790747324626,0.6849071915944417,0.8171064329147338,0.5143911083539326,0.572367057800293,0.6602939128875732,0.7095204957326253,0.8171064329147338
lewm-dmc:cheetah.run.occ-hacsmv4_single-s2,dmc:cheetah.run.occ,hacsmv4_single,2,0.40234146316846214,0.1528351753950119,0.4070744812488556,0.6114247441291809,0.6151672601699829,0.19227871298789978,0.1760992407798767,0.2556675374507904,1.1029541492462158,0.16460560262203217,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.6821629341443379,0.5433102114995321,0.6851156504948934,0.818062965075175,0.51421790599823,0.5724025082588196,0.6602533253033956,0.7099779415130615,0.818062965075175
lewm-dmc:cheetah.run.occ-hacsmv4_static-s0,dmc:cheetah.run.occ,hacsmv4_static,0,0.4036405384540558,0.1552399843931198,0.3540264666080475,0.5973784923553467,0.6167555451393127,0.18982577323913574,0.17684625089168549,0.2495276778936386,0.9386097192764282,0.16932831704616547,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.7118002208073934,0.5414337333043416,0.7001912641525269,0.8937755457560221,0.5089895884195964,0.573877903620402,0.6633097743988037,0.7370727451642355,0.8937755457560221
